name	type	time
ary 300000	basic	1.521258
ackermann 12	basic	4.742397
chameneos 200000	basic	4.913879
echo 200000	basic	5.195470
fannkuch 11	basic	1.122827
except 2000000	basic	3.689921
fibo 44	basic	4.615937
harmonic 1500000000	basic	6.049677
hash2 3000	basic	3.682602
heapsort 50000000	basic	22.343569
raytracer 500	basic	10.313036
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	basic	8.861031
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	basic	4.586983
ary 300000	basic	1.492500
ackermann 12	basic	4.727798
chameneos 200000	basic	4.897888
echo 200000	basic	5.228887
fannkuch 11	basic	1.207830
except 2000000	basic	3.677188
fibo 44	basic	4.584263
harmonic 1500000000	basic	6.010864
hash2 3000	basic	3.702836
heapsort 50000000	basic	22.554647
raytracer 500	basic	10.391806
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	basic	8.958015
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	basic	4.617539
ary 300000	basic	1.690632
ackermann 12	basic	4.734400
chameneos 200000	basic	4.901955
echo 200000	basic	5.290589
fannkuch 11	basic	1.189910
except 2000000	basic	3.831744
fibo 44	basic	4.675250
harmonic 1500000000	basic	6.114769
hash2 3000	basic	3.807976
heapsort 50000000	basic	22.957161
raytracer 500	basic	10.433316
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	basic	8.999478
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	basic	4.592723
ary 300000	basic	1.497500
ackermann 12	basic	4.718659
chameneos 200000	basic	4.939223
echo 200000	basic	5.320571
fannkuch 11	basic	1.111771
except 2000000	basic	3.700898
fibo 44	basic	4.617659
harmonic 1500000000	basic	6.050522
hash2 3000	basic	3.655169
heapsort 50000000	basic	22.416923
raytracer 500	basic	10.321285
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	basic	8.801922
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	basic	4.545934
ary 300000	basic	1.480562
ackermann 12	basic	4.695955
chameneos 200000	basic	4.970659
echo 200000	basic	5.230276
fannkuch 11	basic	1.105303
except 2000000	basic	3.724206
fibo 44	basic	4.641902
harmonic 1500000000	basic	6.051610
hash2 3000	basic	3.751658
heapsort 50000000	basic	22.500654
raytracer 500	basic	10.492712
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	basic	8.982055
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	basic	4.586211
ary 300000	basic	1.495782
ackermann 12	basic	4.790045
chameneos 200000	basic	4.994029
echo 200000	basic	5.488827
fannkuch 11	basic	1.103681
except 2000000	basic	3.666794
fibo 44	basic	4.609462
harmonic 1500000000	basic	6.040209
hash2 3000	basic	3.643874
heapsort 50000000	basic	22.528507
raytracer 500	basic	10.379842
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	basic	8.910257
