name	type	time
ary 300000	basic	1.479811
ackermann 12	basic	4.725793
chameneos 200000	basic	4.930634
echo 200000	basic	5.233758
fannkuch 11	basic	1.195939
except 2000000	basic	3.760104
fibo 44	basic	4.599456
harmonic 1500000000	basic	6.108106
hash2 3000	basic	3.742261
heapsort 50000000	basic	22.801418
raytracer 500	basic	10.316704
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	basic	8.923395
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	basic	4.627279
ary 300000	basic	1.557413
ackermann 12	basic	4.753295
chameneos 200000	basic	4.955424
echo 200000	basic	5.219446
fannkuch 11	basic	1.104319
except 2000000	basic	3.745131
fibo 44	basic	4.597176
harmonic 1500000000	basic	6.129407
hash2 3000	basic	3.697241
heapsort 50000000	basic	22.595700
raytracer 500	basic	10.315346
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	basic	9.055586
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	basic	4.564547
ary 300000	basic	1.503321
ackermann 12	basic	4.787737
chameneos 200000	basic	5.014716
echo 200000	basic	5.487859
fannkuch 11	basic	1.182604
except 2000000	basic	3.689250
fibo 44	basic	4.637255
harmonic 1500000000	basic	6.084059
hash2 3000	basic	3.712216
heapsort 50000000	basic	22.748614
raytracer 500	basic	10.282703
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	basic	8.844771
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	basic	4.562597
ary 300000	basic	1.482330
ackermann 12	basic	4.741847
chameneos 200000	basic	4.962504
echo 200000	basic	5.274246
fannkuch 11	basic	1.176670
except 2000000	basic	3.665478
fibo 44	basic	4.871513
harmonic 1500000000	basic	6.106460
hash2 3000	basic	3.715332
heapsort 50000000	basic	22.233905
raytracer 500	basic	10.227878
oggenc -Q -q10 /Users/psastras/Projects/fp15745/alloc/bench/jfk_1963_0626_berliner.wav	basic	8.802086
bzip2 --best -k -f /Users/psastras/Projects/fp15745/alloc/bench/gcc.txt	basic	4.627791
ary 300000	basic	1.484073
ackermann 12	basic	4.709369
chameneos 200000	basic	4.880017
echo 200000	basic	5.187663
fannkuch 11	basic	1.109280
except 2000000	basic	3.648827
fibo 44	basic	4.593222
harmonic 1500000000	basic	6.049541
hash2 3000	basic	3.669436
heapsort 50000000	basic	22.037747
raytracer 500	basic	10.170269
